Source,Target
105653,105654
105653,210737
105653,210738
105653,210739
105653,211813
105653,211814
105654,210737
105654,211814
210737,210738
210737,210739
210737,211813
210737,211814
210738,210739
210738,211813
210738,211814
210739,211813
210739,211814
211813,211814
53599,115973
53599,231501
53599,258663
53599,258664
53599,278127
69449,135447
69449,198973
69449,258878
69449,268226
69449,278033
115973,231501
115973,258663
115973,258664
115973,278127
135447,198973
135447,258878
135447,268226
135447,278033
198973,268226
198973,278033
231501,258663
231501,258664
231501,278127
258663,258664
258663,258881
258663,258883
258663,278127
258663,284825
258664,278127
258878,258879
258878,258880
258878,258881
258878,258882
258878,258883
258878,284825
258879,258880
258879,258881
258879,258882
258879,258883
258879,284825
258880,258881
258880,258882
258880,258883
258880,284825
258881,258882
258881,258883
258881,273534
258881,284825
258882,258883
258882,273534
258882,284825
258883,273534
258883,284825
268226,278033
273534,284825
14320,24722
14320,26240
14320,44769
14320,45169
14320,100480
14320,107928
14320,128723
14320,130891
14320,130893
14320,145212
14320,145213
14320,146090
24722,26240
24722,44769
24722,45169
24722,57357
26240,44769
26240,45169
26240,57357
26240,75878
44769,45169
44769,75878
44769,87447
44769,107928
44769,128723
44769,146090
44769,147152
45169,87447
45169,130891
45169,130893
45169,147153
57357,100480
57357,107928
75878,128723
75878,146090
100480,107928
130891,130893
145212,145213
145212,146090
145213,146090
146090,147152
146090,147153
146090,147154
147152,147153
147152,147154
147153,147154
12083,21358
12083,21719
12083,21916
12083,21917
12083,21918
21358,21719
21358,21916
21358,21917
21358,21918
21719,21916
21719,21917
21719,21918
21916,21917
21916,21918
21917,21918
6880,6881
6880,6882
6880,6883
6880,6884
6880,6885
6881,6882
6881,6883
6881,6884
6881,6885
6882,6883
6882,6884
6882,6885
6883,6884
6883,6885
6884,6885
66911,66913
66911,66915
66911,102533
66911,178107
66911,332128
66911,339068
66911,339069
66913,66915
66913,102533
66913,178107
66913,332128
66913,339068
66913,339069
66915,102533
66915,178107
66915,332128
66915,339068
66915,339069
102533,178107
102533,332128
102533,339068
102533,339069
178107,332128
178107,339068
178107,339069
332128,339068
332128,339069
339068,339069
77916,147731
77916,150907
77916,315669
77916,339888
77916,370497
77916,370498
147731,150907
147731,315669
147731,339888
147731,370497
147731,370498
150907,315669
150907,339888
150907,370497
150907,370498
315669,339888
315669,370497
315669,370498
339888,370497
339888,370498
370497,370498
114450,114451
114450,115429
114450,115430
114450,141941
114450,148107
114451,115429
114451,115430
114451,141941
114451,148107
115429,115430
115429,141941
115429,148107
115430,141941
115430,148107
141941,148107
52201,67186
52201,128284
52201,141315
52201,167358
52201,234813
52201,248515
52201,265386
52201,314063
52201,332199
52201,364621
67186,128284
67186,141315
67186,144846
67186,167358
67186,231852
67186,234813
67186,237994
67186,239688
67186,248515
67186,265386
67186,299756
67186,299757
67186,311753
67186,314063
67186,332199
67186,378225
67186,378226
128284,141315
128284,144846
128284,231852
128284,265386
128284,323567
128284,364621
141315,265386
141315,311753
141315,323567
141315,364621
144846,231852
144846,237994
144846,239688
144846,299756
144846,299757
144846,392700
167358,248515
167358,299757
167358,311753
231852,299756
231852,299757
231852,392700
234813,248515
234813,332199
237994,239688
237994,299757
239688,299757
248515,299757
248515,311753
248515,332199
265386,314063
265386,364621
265386,378225
299756,299757
299756,314063
299756,378226
299757,311753
314063,378226
323567,364621
43723,60780
43723,79541
43723,103633
43723,266040
43723,381201
43723,381202
43723,400902
60780,79541
60780,103633
60780,266040
60780,381201
60780,381202
60780,400902
79541,103633
79541,266040
79541,381201
79541,381202
79541,400902
103633,266040
103633,381201
103633,381202
103633,400902
266040,381201
266040,381202
266040,400902
381201,381202
381201,400902
381202,400902
227237,239566
227237,274803
227237,287800
227237,287801
227237,287802
239566,274803
239566,287800
239566,287801
239566,287802
274803,287800
274803,287801
274803,287802
287800,287801
287800,287802
287801,287802
117391,154582
117391,163222
117391,166893
117391,259008
117391,267400
117391,267401
117391,285228
154582,163222
154582,166893
154582,259008
154582,267400
154582,267401
154582,285228
163222,166893
163222,259008
163222,267400
163222,267401
163222,285228
166893,259008
166893,267400
166893,267401
166893,285228
259008,267400
259008,267401
259008,285228
267400,267401
267400,285228
267401,285228
60246,259720
60246,259721
60246,262401
60246,280660
60246,281609
259720,259721
259720,262401
259720,280660
259720,281609
259721,262401
259721,280660
259721,281609
262401,280660
262401,281609
280660,281609
30811,33639
30811,53266
30811,67165
30811,98242
30811,98243
30811,98244
30811,98245
30811,98248
30811,98249
30811,98250
30811,99486
30811,99487
33639,53266
33639,67165
33639,98242
33639,98243
33639,98244
33639,98245
33639,98248
33639,98249
33639,98250
33639,99486
33639,99487
53266,67165
53266,98242
53266,98243
53266,98244
53266,98245
53266,98248
53266,98249
53266,98250
53266,99486
53266,99487
67165,98242
67165,98243
67165,98244
67165,98245
67165,98248
67165,98249
67165,98250
67165,99486
67165,99487
98242,98243
98242,98244
98242,98245
98242,98248
98242,98249
98242,98250
98242,99486
98242,99487
98243,98244
98243,98245
98243,98248
98243,98249
98243,98250
98243,99486
98243,99487
98244,98245
98244,98248
98244,98249
98244,98250
98244,99486
98244,99487
98245,98248
98245,98249
98245,98250
98245,99486
98245,99487
98248,98249
98248,98250
98248,99486
98248,99487
98249,98250
98249,99486
98249,99487
98250,99486
98250,99487
99486,99487
173058,297765
173058,297766
173058,324877
173058,324879
173058,368987
173058,368988
297765,297766
297765,324877
297765,324879
297765,368987
297765,368988
297766,324877
297766,324879
297766,368987
297766,368988
324877,324879
324877,368987
324877,368988
324879,368987
324879,368988
368987,368988
160724,364910
160724,364911
160724,403487
160724,403488
160724,403489
364910,364911
364910,403487
364910,403488
364910,403489
364911,403487
364911,403488
364911,403489
403487,403488
403487,403489
403488,403489
9235,297553
9235,297554
9235,297555
9235,311319
9235,315844
297553,297554
297553,297555
297553,311319
297553,315844
297554,297555
297554,311319
297554,315844
297555,311319
297555,315844
311319,315844
77080,80969
77080,85252
77080,85260
77080,99350
77080,99351
80969,85252
80969,85260
80969,99350
80969,99351
85252,85260
85252,99350
85252,99351
85260,99350
85260,99351
99350,99351
83558,94354
83558,241140
83558,299692
83558,299693
83558,299694
94354,241140
94354,299692
94354,299693
94354,299694
241140,299692
241140,299693
241140,299694
299692,299693
299692,299694
299693,299694
98608,228800
98608,321154
98608,321155
98608,321156
98608,325643
98608,350601
228800,321154
228800,321155
228800,321156
228800,325643
228800,350601
321154,321155
321154,321156
321154,325643
321154,350601
321155,321156
321155,325643
321155,350601
321156,325643
321156,350601
325643,350601
4072,22040
4072,79651
4072,130139
4072,142202
4072,199961
4072,239265
4072,266091
22040,79651
22040,130139
22040,142202
22040,199961
22040,239265
22040,266091
79651,130139
79651,142202
79651,199961
79651,239265
79651,266091
130139,142202
130139,199961
130139,239265
130139,266091
142202,199961
142202,239265
142202,266091
199961,239265
199961,266091
239265,266091
98134,151106
98134,323950
98134,350527
98134,350528
98134,403267
151106,323950
151106,350527
151106,350528
151106,403267
323950,350527
323950,350528
323950,403267
350527,350528
350527,403267
350528,403267
219700,228078
219700,297663
219700,306770
219700,387653
228078,250188
228078,250189
228078,297663
228078,306770
228078,345839
228078,362177
228078,369116
228078,387653
228078,387684
228078,395733
228078,397687
228078,422949
228078,422950
250188,250189
250188,345839
250188,394880
250189,297663
250189,306770
250189,345839
250189,394880
250189,417800
250189,422718
297663,306770
297663,387684
306770,394458
345839,394880
345839,422718
387653,397687
387684,395733
387684,397687
394880,422718
422949,422950
34228,85043
34228,190154
34228,190155
34228,190156
34228,295585
34228,328073
34228,350752
34228,423737
85043,190154
85043,190156
85043,295585
85043,328073
85043,350752
85043,423737
190154,190155
190154,190156
190154,295585
190154,328073
190154,350752
190154,423737
190155,190156
190156,295585
190156,328073
190156,350752
190156,423737
295585,328073
295585,350752
295585,423737
328073,350752
328073,423737
350752,423737
22803,55104
22803,63435
22803,79596
22803,79597
22803,79598
22803,79599
22803,83063
55104,63435
55104,79596
55104,79597
55104,79598
55104,79599
55104,83063
63435,79596
63435,79597
63435,79598
63435,79599
63435,83063
79596,79597
79596,79598
79596,79599
79596,83063
79597,79598
79597,79599
79597,83063
79598,79599
79598,83063
79599,83063
50279,171709
50279,203971
50279,321702
50279,321703
50279,321704
50279,321705
50279,321706
50279,321707
50279,321708
50279,321709
50279,321710
50279,330535
171709,203971
171709,321702
171709,321703
171709,321704
171709,321705
171709,321706
171709,321707
171709,321708
171709,321709
171709,321710
171709,330535
203971,321702
203971,321703
203971,321704
203971,321705
203971,321706
203971,321707
203971,321708
203971,321709
203971,321710
203971,330535
321702,321703
321702,321704
321702,321705
321702,321706
321702,321707
321702,321708
321702,321709
321702,321710
321702,330535
321703,321704
321703,321705
321703,321706
321703,321707
321703,321708
321703,321709
321703,321710
321703,330535
321704,321705
321704,321706
321704,321707
321704,321708
321704,321709
321704,321710
321704,330535
321705,321706
321705,321707
321705,321708
321705,321709
321705,321710
321705,330535
321706,321707
321706,321708
321706,321709
321706,321710
321706,330535
321707,321708
321707,321709
321707,321710
321707,330535
321708,321709
321708,321710
321708,330535
321709,321710
321709,330535
321710,330535
18323,240098
18323,249900
18323,269383
18323,348984
146590,269383
146590,319507
146590,319508
146590,337203
146590,339699
146590,349177
240098,249900
269383,319507
269383,319508
269383,337203
269383,339699
269383,349177
319507,319508
319507,337203
319507,339699
319507,349177
319508,337203
319508,339699
319508,349177
337203,339699
337203,349177
339699,349177
256899,374339
256899,374340
256899,374341
256899,374342
256899,374343
256899,386219
256899,390029
374339,374340
374339,374341
374339,374342
374339,374343
374339,386219
374339,390029
374340,374341
374340,374342
374340,374343
374340,386219
374340,390029
374341,374342
374341,374343
374341,386219
374341,390029
374342,374343
374342,386219
374342,390029
374343,386219
374343,390029
386219,390029
46209,193921
46209,267443
46209,295760
46209,365222
46209,365474
46209,372985
46209,372986
46209,373234
46209,373235
46209,373236
46209,373237
46209,373238
46209,373239
46209,377050
193921,267443
193921,372986
267443,372986
295760,365474
295760,372985
295760,372986
365222,372986
365222,373234
365222,373235
365222,373236
365222,373237
365222,373238
365222,373239
372985,372986
372986,373234
372986,373235
372986,373236
372986,373237
372986,373238
372986,373239
372986,377050
373234,373235
373234,373236
373234,373237
373234,373238
373234,373239
373235,373236
373235,373237
373235,373238
373235,373239
373236,373237
373236,373238
373236,373239
373237,373238
373237,373239
373238,373239
5659,31519
5659,156288
5659,188695
7952,15763
7952,26617
7952,31519
7952,52732
7952,66238
7952,66561
7952,83307
7952,179450
7952,188694
13862,187431
13862,187432
15763,26617
15763,156288
15763,188694
15763,188695
17591,52732
17591,134079
17591,146762
17591,190263
17591,192880
26617,28370
26617,31519
26617,66238
26617,66561
26617,83307
26617,164973
26617,179450
26617,184156
26617,184639
26617,184641
26617,193527
26617,193528
28370,164973
28370,184156
28370,184639
28370,184641
28370,193527
28370,193528
31519,104036
31519,156288
31519,188695
52732,134079
52732,146762
52732,190263
66238,66561
66238,83307
66561,83307
83307,179450
104036,134079
104036,146762
104036,156288
104036,179450
104036,184156
104036,187432
104036,188695
104036,190263
104036,192880
134079,146762
134079,156288
134079,179450
134079,184156
134079,187432
134079,188695
134079,190263
134079,192880
146762,156288
146762,179450
146762,184156
146762,187432
146762,188695
146762,190263
146762,192880
156288,179450
156288,184156
156288,187432
156288,188694
156288,188695
156288,190263
156288,192880
164973,184156
164973,184639
164973,184641
164973,193527
164973,193528
179450,184156
179450,187432
179450,188695
179450,190263
179450,192880
184156,184639
184156,184641
184156,187432
184156,188695
184156,190263
184156,192880
184156,193527
184156,193528
184639,184641
184639,193527
184639,193528
184641,193527
184641,193528
187431,187432
187432,188695
187432,190263
187432,192880
188694,188695
188695,190263
188695,192880
190263,192880
193527,193528
72740,93484
72740,102239
72740,133507
72740,134181
72740,174125
72740,214420
72740,269032
72740,284954
72740,309554
72740,316028
72740,335199
72740,336923
72740,373459
93484,102239
93484,128760
93484,133507
93484,134181
93484,174125
93484,214420
93484,269032
93484,284954
93484,309554
93484,316028
93484,335199
93484,336923
93484,373459
102239,128760
102239,133507
102239,134181
102239,174125
102239,214420
102239,269032
102239,284954
102239,309554
102239,316028
102239,335199
102239,336923
102239,373459
128760,244707
128760,257532
133507,134181
133507,174125
133507,214420
133507,269032
133507,284954
133507,309554
133507,316028
133507,335199
133507,336923
133507,373459
134181,174125
134181,214420
134181,269032
134181,284954
134181,309554
134181,316028
134181,335199
134181,336923
134181,373459
174125,214420
174125,269032
174125,284954
174125,309554
174125,316028
174125,335199
174125,336923
174125,373459
214420,284954
214420,309554
214420,316028
214420,335199
214420,336923
214420,373459
244707,257532
269032,284954
269032,309554
269032,335199
269032,336923
284954,309554
284954,316028
284954,335199
284954,336923
284954,373459
309554,316028
309554,335199
309554,336923
309554,373459
316028,335199
316028,336923
316028,373459
335199,336923
335199,373459
336923,373459
40804,124487
40804,154555
40804,384299
40804,384300
40804,384301
124487,154555
124487,384299
124487,384300
124487,384301
154555,384299
154555,384300
154555,384301
384299,384300
384299,384301
384300,384301
46687,59312
46687,59313
46687,59314
46687,59315
46687,59734
59312,59313
59312,59314
59312,59315
59312,59734
59313,59314
59313,59315
59313,59734
59314,59315
59314,59734
59315,59734
365826,365831
365826,384357
365826,384358
365826,384359
365826,399036
365831,384357
365831,384358
365831,384359
365831,399036
384357,384358
384357,384359
384357,399036
384358,384359
384358,399036
384359,399036
53946,64784
53946,415880
60804,64784
60804,90297
60804,183438
60804,237127
60804,258997
60804,279484
60804,381233
60804,405832
60804,405833
64784,188278
64784,237127
64784,270191
64784,279484
64784,332327
64784,414434
64784,415880
64784,419940
90297,183438
90297,381233
183438,381233
188278,332327
188278,419940
237127,270191
237127,279484
237127,332327
237127,414434
258997,270191
258997,381233
258997,405832
258997,405833
270191,279484
270191,414434
279484,414434
332327,419940
381233,405832
381233,405833
405832,405833
163242,164083
163242,164084
163242,164085
163242,179709
163242,192713
163242,264608
163242,264609
164083,164084
164083,164085
164083,179709
164083,192713
164083,264608
164083,264609
164084,164085
164084,179709
164084,192713
164084,264608
164084,264609
164085,179709
164085,192713
164085,264608
164085,264609
179709,192713
179709,264608
179709,264609
192713,264608
192713,264609
264608,264609
14392,18996
14392,38651
14392,38652
14392,38653
14392,40405
14392,43154
18996,38651
18996,38652
18996,38653
18996,40405
18996,43154
38651,38652
38651,38653
38651,40405
38651,43154
38652,38653
38652,40405
38652,43154
38653,40405
38653,43154
40405,43154
27944,59813
27944,97936
27944,219348
27944,224537
27944,231919
27944,258014
27944,289554
59813,231919
59813,258014
