+1 EpinionsCommonNeighbor_529:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_1893:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_421:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_1960:1
+1 EpinionsCommonNeighbor_79:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_97:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_304:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_358:1
+1 EpinionsCommonNeighbor_24:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_30:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_24:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_50:1
+1 EpinionsCommonNeighbor_125:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_267:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_386:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_567:1
+1 EpinionsCommonNeighbor_274:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_401:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_474:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_686:1
?1 EpinionsCommonNeighbor_244:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_475:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_847:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_1144:1
?1 EpinionsCommonNeighbor_210:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_274:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_392:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_458:1
?1 EpinionsCommonNeighbor_63:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_65:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_77:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_121:1
?1 EpinionsCommonNeighbor_181:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_210:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_162:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_279:1
+1 EpinionsCommonNeighbor_198:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_258:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_294:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_381:1
+1 EpinionsCommonNeighbor_236:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_128:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_449:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_489:1
?1 EpinionsCommonNeighbor_555:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_1736:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_629:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_2142:1
+1 EpinionsCommonNeighbor_71:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_148:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_129:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_225:1
?1 EpinionsCommonNeighbor_189:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_273:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_684:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_776:1
?1 EpinionsCommonNeighbor_198:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_335:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_579:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_758:1
+1 EpinionsCommonNeighbor_67:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_79:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_101:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_134:1
?1 EpinionsCommonNeighbor_162:1 EpinionsDirected_A_OUT_988:1 EpinionsDirected_B_OUT_130:1 EpinionsDirected_A_IN_1355:1 EpinionsDirected_B_IN_1492:1 EpinionsDEBREE_A_1819:1 EpinionsDEBREE_B_1559:1
