+1 SlashdotCommonNeighbor_49:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_201:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_309:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_478:1
?1 SlashdotCommonNeighbor_44:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_30:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_508:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_518:1
+1 SlashdotCommonNeighbor_24:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_1:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_116:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_117:1
?1 SlashdotCommonNeighbor_96:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_401:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_239:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_428:1
?0 SlashdotCommonNeighbor_53:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_1:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_987:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_988:1
?0 SlashdotCommonNeighbor_23:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_87:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_154:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_220:1
?0 SlashdotCommonNeighbor_9:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_199:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_33:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_225:1
?1 SlashdotCommonNeighbor_5:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_49:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_6:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_49:1
?1 SlashdotCommonNeighbor_5:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_60:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_4:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_61:1
?0 SlashdotCommonNeighbor_8:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_142:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_5:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_143:1
+0 SlashdotCommonNeighbor_6:1 SlashdotDirected_A_OUT_177:1 SlashdotDirected_B_OUT_132:1 SlashdotDirected_A_IN_573:1 SlashdotDirected_B_IN_3:1 SlashdotDEBREE_A_666:1 SlashdotDEBREE_B_133:1
?1 SlashdotCommonNeighbor_35:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_47:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_284:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_314:1
?0 SlashdotCommonNeighbor_22:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_12:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_551:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_557:1
?0 SlashdotCommonNeighbor_15:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_64:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_47:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_98:1
+0 SlashdotCommonNeighbor_1:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_79:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_21:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_98:1
+0 SlashdotCommonNeighbor_44:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_356:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_45:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_373:1
+1 SlashdotCommonNeighbor_2:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_21:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_47:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_64:1
?1 SlashdotCommonNeighbor_16:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_87:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_154:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_220:1
+0 SlashdotCommonNeighbor_43:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_201:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_63:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_203:1
+0 SlashdotCommonNeighbor_6:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_96:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_23:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_106:1
+1 SlashdotCommonNeighbor_9:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_246:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_116:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_327:1
+0 SlashdotCommonNeighbor_23:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_22:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_29:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_43:1
?1 SlashdotCommonNeighbor_1:1 SlashdotDirected_A_OUT_201:1 SlashdotDirected_B_OUT_47:1 SlashdotDirected_A_IN_309:1 SlashdotDirected_B_IN_30:1 SlashdotDEBREE_A_478:1 SlashdotDEBREE_B_70:1
?0 SlashdotCommonNeighbor_12:1 SlashdotDirected_A_OUT_47:1 SlashdotDirected_B_OUT_64:1 SlashdotDirected_A_IN_284:1 SlashdotDirected_B_IN_47:1 SlashdotDEBREE_A_314:1 SlashdotDEBREE_B_98:1
